Username,Review Text,Rating
BGL13,"thank you guys so much for 1000 followers. this doesn’t feel real. when i joined this site i didn’t even expect to reach 100 followers. i originally just joined to share mg opinions with some of my friends. the fact that i reached this level is insane.
in early 2020, one of my best friends showed me a song called money machine. i was immediately put off by the chipmunk vocals and slightly noisy instrumental. i hated the song. a few days after this, i saw that the band who made money machine had made a song with kero kero bonito and charli xcx. being fans of both of the artists but hating what i heard from 100 gecs, i was cautiously excited to hear the song. and, surprisingly enough, i loved it. since i loved the remix of ringtone, i decided to check out the original version too. and i loved that as well. i was confused. did 100 gecs grow on me or was this song just better than money machine? i relistened to money machine and found the answer to the question. i had become a 100 gecs fan. i listened to the album and loved it. i didn’t really expect it to become one of my favorite albums of all time. my family heard me listening to stupid horse and thought i was joking when i said i liked it.
this has quickly become my most played album of all time as well as one of my favorites. everything about this just exudes mindless, catchy fun. it’s addicting. all of the songs on this are so fun that i have to replay them when they end. when i listen to 100 gecs, my mind is taken off of everything that goes around me. i only think about the music. that makes this my number one comfort album. when i listen to this album, all my worries go away as i’m too focused on the batshit insane music. if i try to describe this album it will be redundant as ill just talk about how fun and crazy it is. the only way you can get an accurate description of what this album is like is to listen to it.
while it might sound ridiculous, 1000 gecs has gotten em through many tough times by reminding me that sometimes it’s okay to just have fun.
once again thank you all so much for 1k followers. i love you all so much. you are all so kind and i can’t be more grateful for the friends i’ve made on this site. 
with love, ben",100
n o s t a l g i a,"Step 1: Listen to 1000 gecs and get very confused as to what I'm listening to and why everyone likes this.
Step 2: Listen to it again a few weeks later to see if maybe ""I just don't get it"".
Step 3: Get ""Stupid Horse"" stuck in your head.
Step 4: Decide you want to listen to 100 gecs again and understand it slightly more but only raise your score for it minimally.
Step 5: Get ""Money Machine"" stuck in your head for two weeks straight.
Step 6: Realise you're now listening to 100 gecs tracks regularly in your spare time as well as watching interviews and videos of Laura and Dylan.
Step 7: Listen to 1000 gecs 7 times in one day and be completely mesmerized by their sound. 
Step 8: Officially accept that you're a 100 gecs fan.
First score: 35Second score: 48",70
ParthanyJobtano,"great ass opener745 sticky isso crazy fuck yes
feel so fucking clean like a money machine bitchyou better love this
omg the basson 800db cloudis so goddamn loud
help laura les pleaseneeds help immediatelywhy am i crying?
stupid fucking horsewhy you gotta lose the race?now laura is mad
the hook on this tracksounds like kiss me thru the phonethank you toasterqueen
guys i think that herboyfriends got his own ringtonecan i have one too?
gec gec gec gec gecgec gec gec gec gec gec gecgec gec gec gec gec
gave it a hunnidfeel like im losing my mind*hand crushed by mallet*
love you 100 gecsyou make my day honestlyi will gec 2 u
<3",85
FearFlour,gecs,100
_zeltrxn17,"Is this trap? Is this glitch? Is this pop? Is this there's even a ska song? We will probably never know. But what I know, is that 100 gecs will join my secret pleasures list that I can't show to all my friends, up there with death grips.
The two dudes here have an unique way of mixing all the genres I mentioned earlier, among others in this big and odd sound collision that is the core of this album, to make some new, fresh and in your face 🅱️angers. The lead single ""Money Machine"" is a perfect example of that.All the songs here have a quite heavy autotune that I don't think by itself would please anyone (I can see why it could be downright awful to some), but what I really admired is the twist every song has, as well as the songwriting that I think is a positive factor to why these bangers are legitimate bangers.Again, if you have the balls to bump this in public go for it, I'll have to get used to it a bit more, but yeah it's a one of a kind experience that I'd strongly recommend.",85
luna128,I CAN DO ANYTHING I WANT FIRST TRY,70
KoopaToad18,"""1000 gecs"" has some absolute ear candy w/ endlessly memorable hooks, but some of its moments become a little too incoherent, or they're just not as catchy. It's also really short, which ends up benefitting this album more, b/c it's only 23 minutes.
""745 sticky"" has some wonky synth passages, & some high-pitched autotune melodies that're really catchy, especially on the chorus. There's also a transition into an incredibly abrasive dubstep drop, which although very incoherent & also the weakest part of the track, it kinda fits in some weird unorthodox way. ""money machine"" is an absolute banger. The short intro's the most ""haha gottem"" type thing I've heard in a song. Pretty much everything about the track is incredibly infectious; whether that be the heavily autotuned vocals that almost sound like synthesizers, the KNOCKING instrumental, or the noisy outro that fits well w/ the track. ""800 db cloud"" is also a favorite of mine. It's one of the loudest tracks here, with a lot of distorted synths/guitars, as well as the metal screaming that closes out the track. Laura Les's very calm bridge is very abruptly stopped by more distorted synths/guitars & one of the best & catchiest refrains on the entire album. ""I Need Help Immediately"" is the first dud on the record. It sounds like a dialogue sequence in an old video game more than an actual song or piece. It's just kind of a pointless mish-mash of whatever b/c it's WEIRD & QUIRKY. ""stupid horse"" is the most coherent song here, it sounds like a pop-punk track but with a lot of distortion & autotune. Its chorus is incredibly catchy like many tracks here, & the backing vocals on the last chorus add a nice touch. ""xXXi_wud_nvrstøp_ÜXXx"" has one of the worst song titles ever, but it keeps the repetitive vibe of ""stupid horse"". Only in the beginning though, b/c it goes into a nice distorted passage, before sounding like some synthpop that would've been popular about 10 years ago. This track once again feels like a mish mash of random ideas, it at least keeps my attention quite a bit, as there are catchy refrains here & there. I like the computer-y beat on ""ringtone"", as well as the very lowkey vocals. It's genuinely the most lowkey & chill track here. It does have some more distorted passages here & there, but it's much more accessible than the other songs here, & one of the catchiest as well. ""gecgecgec"" is the 2nd & last dud, like ""I Need Help Immediately"", it's just 2 & a half minutes of video game-like sound effects mish mashed w/ not much cohesion. The repeating of ""gec"" also gets pretty annoying in the first second with that text-to-speech robot voice. When the vocals come in near the 1:25 mark, Laura comes in with a pretty intimate-ish vocal lead. It's not nearly enough to save this track though, as it's not like it's one of the more infectious vocal lines, & it's not backed by that interesting of a beat. I love the sugary instrumental on ""hand crushed by a mallet"", which helps transition into each section of the track super well, & each section happens to have some of the best vocal passages as well, whether that be on Dylan Brady's parts, or the ""outro"" with Laura Les. It's truly an infectious & dynamic banger, I wish more tracks had transitions as smooth as this track does. The closer ""gec 2 Ü"" has a happy vibe to it, mainly b/c of the synth melody, & the very sugary/lowkey sound of the vocals. It's chorus is pretty catchy, & the vocals are much less heavy on the autotune (sound-wise). Although the track does close out the album on easily the most pounding & abrasive part of the album, which comes seemingly out of nowhere, but happens to be the best part of the song.
Overall, I'd say the album's incredibly infectious & an absolute joy to listen to, but the duds on here keep this from being quite great in my book. I'm feeling a decent 7.5 on this album, I think the highlights are fantastic, but the album's a little too mish-mashy at times.
Best Tracks (9/10): ""money machine"" (""piss baby"", wow, you really gottem there bruh), ""800 db cloud"", ""ringtone"", ""hand crushed by a mallet""
Worst Tracks (5/10): ""I Need Help Immediately"", ""gecgecgec""",75
Dombot,"People that hate on this usually ask something like ""what more does this have to offer than autotune, experimental bullshit, cringey absurdism and just straight noise?"" 
And to that I say...
.................................................",87
IvoBraga,"""yo guys let's open fl studio, search for completly random sounds, like literally everything this world has to offer, put them all together and then smash our heads into the keyboard and hopefully people enjoy this.""
Not bad, 65/100",65
AllAboutMusic,"How tf do THIS many of you like this shit😭😭😭
They literally gave alvin and the chipmunks some autotune and now all of a sudden it’s “unique” and “artistic”
I’m so confused as to what there is to like about this other than some decent at best production on 2 or 3 tracks.
Look, I absolutely love experimental bands who have an out of the box style that little to no other bands would ever think of doing, but 100 Gecs just aren’t doing it right. Yes, being different matters, but just the fact that you are much different than other bands doesn’t automatically make you one of the best bands out right now. 
The difference between 100 Gecs and a band like… say, Death Grips, is that Death Grips, while it’s easily for the average music listener to think their hot garbage the first time that person listens to them, as you listen to them more and you, you realize that there are plenty of things to love about Death Grips. 
See, Death Grips took their sound and perfected it in a way that not too many other bands would be able to do. Death Grips had cool flows, dope ass beats that worked insanely well with their style, and MC Ride’s vocals grow on you more and more as you listen to them, until your finally at the point where he is one of your favorite vocalists ever. Whereas for 100 Gecs, I’ve tried listening to this album numerous times to see what people love about it, and their voice doesn’t grow on me at all. In fact I’d say it progressively gets worse every time I hear it.
I always see comments on YouTube whenever I click on a 100 Gecs songs, and they always say something like
“This shit is honestly so ass, but tbh I love it”
“They don’t even make very good music, but I just can’t get enough of them”
“This shit is awful but I can’t stop playing it for some reason”
You can’t tell me that makes them great because it doesn’t
Like I said, I love experimental music that is out of the box and pushes boundaries, but this REALLY ain’t it",13
kirboangry,im sorry but this was awful i still not know what happened(dont you dare to put this in the red pilled moments channel),35
Plats,"I have the most conflicted feelings in the best way possible. It's one of the stupidest pieces of shit I've heard in quite some time yet it's also the most intelligent. I'll just put how @acreativename described this album.
""gecs sound like solving the mysteries of the universe with a box of half melted crayons""
So, yeah. ""1000 gecs"" was an undeniably fun and instantly replayable record for me. You may love it or dread it, but the bizarre mixture of sounds and genres combined with the stupidly hilarious but catchy lyrics and overuse of autotune makes it one of the most unique records of the past decade.
UPDATE: Oh yeah, this is getting better!
Fav Tracks: money machine, stupid horse, ringtone, 800db cloud, hand crushed by a mallet, xXXi_wud_nvrstøp_ÜXXx
Least Fav Track: gecgecgec
Score:9gec",90
nathan,"i went into this album with the most serious mindset i could have. i knew that if the album could make me crack a smile or even impress me in one way or another, i would come to enjoy the record. boy, was i in for a wild ride. this 10-track, 23-minute collection of ideas and soundscapes could prove to be the future of pop, and mainstream music as a whole. dylan and laura struck gold with their creative use of pitched vocals, which really sound like their originally pitched voices, and not just a chipmunk version of them. these high vocals can transmit emotion as good as regular ones, and even exceed them when it comes to catchiness and overall memorability. i've yet to see a truly spectacular effort from this duo, but i wish them the best in their musical endeavors and leave this experience with a surprisingly good taste in my mouth.
DICTIONARY DEFINITION: v. to push musical and expressive limits
º③ ringtone 
this song (especially the remix later on) represents the potential for a cultural bridge between glitchpop/hyperpop and other mainstream forms of pop. it's sweet, bubbly and energetic, while maintaining the absurdism of the boundaries it's pushing.
ºº② money machine 
the genuine laughs i've gotten from laura's intro are far greater than anything else this song contributes (even though it's pretty solid). the one-liners are great, it sets a great tone and laura sounds so pissed off that the headbanging comes naturally with the song.
ººº① 800db cloud 
besides the plain fun the other tracks had me experience, none of them made me feel the raw emotions of sadness and angst like this one. laura's voice sounds genuinely pained, and the glitchy elements in the melancholy instrumental make for tension and the clearest expression of the conformity that comes with heartbreak.
WORST TRACK————> I Need Help Immediately 
the track's like a shitpost, but it comes without the funny part and just comes off as unnecessarily eccentric (think howtobasic videos but more creative).",78
Matt,"Okay. I understand the hate, I really do, but I still really enjoyed this album.
I usually listen to a project around 2-3 times before a review but I listened to this 4 times to really get into the feel of the album, and it was an insanely fun listen. It's like it's so bad it's good? I actually really really liked the production off this album. It's not a masterpiece at all, it's just a really fun experience for me, and honestly, I really couldn't listen to these songs just by themselves, if I were to listen to these songs, I would listen to the album as a whole.
The hate it gets, is deserved, but the love it gets is also deserved, but in my opinion, it's a pretty good album and when I listen to it I really can't go wrong with it.
No Favorite/Least Favorite Track Section. I can't really define the album from a track basis, it's almost like all the tracks are just all connected to me. 
80/100. Overrated? Maybe, but not for me.",80
KT KnifeTrick,"What the heck is this Bubblegum Bass genre? It's like Nightcore with... things? Nightcore: the Album?
This album is like a box of W̶̨͟͢H̷̴̡͘͠Á̡̧͠T̵͞T̶̡͟͟͠H̕҉̸̢͠E̷̴͢͠͠F͝͏̢U͘͏C̡͢͜Ķ͡͏, you &́́͢%̶̴̨͠*͜͞(̵̶̵̀͡#͏̷&̷̨̨*͝҉̨͝(̸̨̡̛̀%̡҉̛#̴̧&̶̕)͏͞(̛́͡#̴̸͟*̡́͢͟%̷̸̢͜͡^̶̢͘͜^́҉̶̶̢
I seriously had no idea what I was getting myself into by pressing play on this album.This album is strangely addictive from the Nightcore bars to the weird electronics.I really don't know how to really explain this, but there's a ska song that's pretty good????
Favs: ALL",93
TheDankestMeme,"UPDATE (JULY 23 2019) : Score went from 84 to 88 to 80
It keeps getting better. Not really much else to say.
BEST TRACKS: money machine, stupid horse, ringtone, hand crushed by a mallet
WORST TRACKS: I Need Help Immediately
------------------------------------------------------------------------------------------------------------------------------
UPDATE (DECEMBER 14 2019): Score went from 39 to 84
This has to be the biggest change in a rating of an album that I have ever reviewed. I was very wrong about this album. The way 100 gecs bring all of this chaos to their album is not a bad quality, it's a good one. The bass heavy instrumentals, heavily edited vocals and brash lyrics make this album such an experience to listen to. It manages to find a way to have fun with itself and defy all rules of music. This album is easily one of my favourites from this year. Overall a very good album, check it out if you haven't already!
BEST TRACKS: 745 sticky, money machine, stupid horse
WORST TRACKS: I Need Help Immediately
------------------------------------------------------------------------------------------------------------------------------
ORIGINAL SCORE (SEPTEMBER 5 2019): 39
ORIGINAL REVIEW:
I can see the appeal but for me it just doesn’t work.",70
Furry music,This is fucking stupid,90
Sam Is Not A Critic,"You know, after realizing that my most played songs of the year are either from Submarine Man or The Sad Man, weird-ass experimental stuff like this is basically my turn-up music. This is meme music
Screw y'all The Sad Man is the greatest artist of our generation
favourite tracks: 745 sticky, money machine, 800db cloud, stupid horse, ringtoneleast favourite: xXXi_wud_nvrstøp_ÜXXx
Summary: Great
Edit: the amount of times I've returned to some of the stuff on here is jarring. this shit B A N G S",82
RiskR,"EDIT: i’m into it again but like it’s still not anything with much substance 
100 gecs's only appeal comes from the fact most people listening have never heard anything like them before. It's most people's intro to the hyperpop genre and as a result it's loved for being weird and energetic and addicting. Most people will listen to it once, think it's awful, but be so bewildered that they keep coming back to it, until they love it.
But this obsession doesn't last long. Once you've heard a few of the 100 gecs copycats, along with hyperpop artists that are making much more interesting, replayable music than them, you realize 100 gecs isn't that great. Their music follows typical pop structures and fits in with the general TikTok trendy music, but is weird enough to be viral. They are polarizing, sure. But their music gets OLD QUICKLY. 
Here is a list of much more replayable, interesting, and/or innovative hyperpop artists
Dorian ElectraSophieCharli XCX A.G. CookGlaiveGupi
This album isn't that bad, but it has little replay value and only appeals to people because it's new and ""quirky""",70
Windy (^-^),"+1 point for each time the word ""gec"" is played in the album
Favorite songs: money machine, 800db cloud, stupid horse, hand crushed by a mallet
Least favorite songs: I Need Help Immediately, gecgecgec
(okay but I unironically enjoy listening to this - really fun album)",71
nino21321312312,"I remember listening to this album when it first came out and it was quite okay for me, but now I notice more disadvantages than advantages. First of all, the easily annoying autotune that often destroys the pleasure of the song. also the very structure of the songs annoys me. Although I can find very good songs here, at the same time you can also find demos here that were posted here quickly. Production is sometimes chaotic here as well, as if it did not have a constant aesthetic. It was all quite specific, but not the worst.strong 6",68
ThrowBackG,"I'd question the accolades of ""ingenuity"" a bit, as Laura and Dylan really were just horsing around until something sounded nice, but she did just call a rink-a-dink truck boy a piss baby, so maybe this album is clever. Also, Laura tried to eat her microphone while strumming a headless guitar solo when I saw them live.
What? Improvised albums get improvised reviews.",10
kosu,"i liked this, but now i despise it",65
Pickle,"1000 gecs, an album of just 23 minutes, is the most popular album last year which was (and still is) everywhere on the internet. The album has a polarizing reception in which some people think it is utter garbage while some deem it as the best album ever created. 
To me, this album is short, fun and catchy. If I have to use a word to describe 1000 gecs, it will be big. The soundscape is huge and it kind of reminds me of an insane version of Age of Adz. The lyrics of this is intentionally horrible yet funny. The reason why this album is so successful is that the catchiness and intentional terrible production perfectly juxtapose together. 
While I think the concept behind this album is totally genius, it still has a big room for improvement. The tracks could have gone harder and incorporate more brostep influences. The synth noises here are iconic but they are somewhat annoying. But after all, it's a good album and a great shitpost.",70
reaIreaIweaseI,"1000 gecs.
Listening to 1000 gecs has got be the most cautious I've been in years. Going home in the pitch black dark of the night? Couldn't be easier. Staying high up in the air for hours on end? No sweat. But trekking through 1000 gecs for the first few times had me clutching my pearls and clenching my asshole harder than I ever had done before listening to music. 1000 gecs has gotten mostly positive scores from critics, but opinions from fellow AOTY users could not be more scattered. Even just looking at the front page for this on this very site, the two most popular reviews gave this a 100 and a 27. A controversial album? That means I have to... god forbid, form my... own opinion.
And we already discover a ton of landmines just looking at the opening track, 745 sticky. Firstly, Laura Les and Dylan Brady's vocals are slathered in so much autotune, and so much vocal manipulation that it would make Big Baller B cringe. The singing is absolutely awful. Furthermore, the end of the track features a dubstep-esque drop. You know my stance on drops. I hate them. Except when BTS does it, then it's ok. This drop in particular sounds super out of place and grinds the track to a total halt, on top of just sounding awful. Finally, the lyrics are absolute garbage. I know the bar for good writing is pretty low for most new music these days, but Jesus some of these lyrics were made almost bad on purpose. ""You take like ten tries, hurtin' my eyes"". Really? 
... Is what I would say if I was over the age of 40. Fortunately, my zoomer taste comes into full effect with 1000 gecs, and I could not be more thankful. All of those landmines I mentioned in the above paragraph are either completely false or non-complaints. The lyrics are bad though. That is not a lie.
The bad singing and autotune aren't much of a problem because of how good the melody game is. I understand that most people don't have very great singing voices, and that's perfectly fine. Logic and Pop Smoke can't sing and that won't stop me from enjoying their more melody-driven music. And 100 gecs certainly know that, because they don't even try to sing. Instead, 1000 gecs is filled to the brim with extremely catchy melodies, leading to the choruses and verses also being extremely memorable. I also don't mind the drops that appear on tracks such as money machine, and that's because they make sense. A lot of drops act as jumpscares, something very unexpected and unpleasant. But when they appear on 1000 gecs they fit with the track and by the time they appear you know they're coming. I fuck with most of the drops here.
1000 gecs features a ton of variety in its production. All sorts of genres and sounds are combined on 1000 gecs, leading to the album feeling fresh with every listen and repetition being non-existent. We jump from blown out trap banger money machine, complete with booming bass and those trap flavored rattling hi-hats, to the cluster of samples known as I Need Help Immediately, to the lowkey and super cute ringtone, all in the span of less than 20 minutes. Very impressive.
It's only major missteps are those cluster tracks, I Need Help Immediately. The act less as well crafted songs and moreso a cluster of good ideas that don't play well together. The ideas are good, yes, but putting them together just does not work, especially with the lack of vocal input from Laura and Dylan. The closer gec 2 Ü also has a pretty annoying drop at its end. I know I complimented the drops earlier but here my complaint of drops being very out of place and unexpected applies here, unfortunately. It leaves me with a sour taste in my mouth.
In conclusion, 1000 gecs is amazing. It took some time to finally click, which is why it took so long to review. But now that it has I cannot stop coming back to it. Something I've never really mentioned in my reviews is replayability, because with most things I review I stop listening to them after I review them. Even things I give generally positive reviews to I don't often come back to. But 1000 gecs is not one of those albums. It's absolutely blooming with freshness, even after multiple listens. There are way too many unique ideas and way too many memorable tracks to make this forgettable.
Favorite Track(s): 745 sticky, money machine, 800 db cloud, stupid horse, xXXi_wud_nvrstøp_ÜXXx, ringtone, hand crushed by a malletLeast Favorite Track: I Need Help Immediately",70
reptilia0000,"I don't gec it 
I've known about 100 gecs for a while now, like, since their popularity exploded. I remember the reception being mostly warm and people just being like ""it's so absurd and stupid and bad that it's good"". And I remember hearing ""money machine"" and just absolutely despising everything about it. 
Regardless of that, I would always recommend this album and ""Schlagenheim"" by black midi to everyone because... huh, now that I think about it that may have been a reason why I wasn't popular in 9th grade. 
Whatever, recently though, or well, since last year, this album, alongside hyperpop have been put on a weird type of pedestal. Even when there are a lot of detractors of the genre, a lot of the people in the community just LOVE this genre, and well, I feel like an outcast because of this. 
Let me be honest (uh-uh), I don't like hyperpop at all. I just don't know from what angle I'm even supposed to look at the genre, like, am I supposed to be having fun? How? The super high-pitch vocals are so annoying. Do I look into it and just laugh at its absurdity? What do I even focus on when it always feels there's like a thousand things going down? Do I listen to the lyrics and look at the artsy side of the music? It seems lyrics and art are the last things this genre wants me to focus on. 
I've tried multiple times with this album, and when I say that, I truly mean it. I don't know, I like the 100 gecs guys, I like Laura and the other guy, they seem really cool, but, just liking an artist doesn't make me like their art. This is annoying, even appalling at times, with so much going on, it just feels like it came straight from a meme, but not even one that would make me laugh. What the hell is even happening half the time? 
Some tracks are fine and decent, ""gec 2 Ü"" and ""ringtone"" sound like music that maybe I'd listen to someday, but then there's the rest of the tracklist. Like, sure, the attempt at doing something different is there and I appreciate it as always, but, it isn't enjoyable, it isn't funny, it isn't interesting, it isn't even so bad it's good, it's simply not enjoyable to listen to. 
I've tried and who knows, maybe I'll keep trying, but hyperpop isn't my thing. This is just annoying and I just struggle and fail to understand what people see on this, even looking at it as just stupid music doesn't help.",35
